type,url,filter,listing_count,phase
listing,/restaurant/vero-beach/1-wok-chinese-restaurant-4105080,license_key=4105080,1,3
listing,/restaurant/bay-lake/the-sand-bar-grill-5800762,license_key=5800762,1,3
listing,/restaurant/kissimmee/the-down-town-deli-5904376,license_key=5904376,1,1
listing,/restaurant/port-st-lucie/the-mofongo-king-6603153,license_key=6603153,1,1
listing,/restaurant/orlando/the-strand-5813352,license_key=5813352,1,1
listing,/restaurant/orlando/1010-brewing-co-5813782,license_key=5813782,1,2
listing,/restaurant/kissimmee/126-chinese-restaurant-5910923,license_key=5910923,1,2
listing,/restaurant/fort-pierce/12a-buoy-6602468,license_key=6602468,1,1
listing,/restaurant/orlando/14-bis-pizzeria-5811666,license_key=5811666,1,1
listing,/restaurant/apopka/168-chinese-restaurant-6902862,license_key=6902862,1,3
listing,/restaurant/orlando/18-monroe-market-deli-5811347,license_key=5811347,1,3
listing,/restaurant/orlando/1803-pizza-kitchen-5803177,license_key=5803177,1,1
listing,/restaurant/barefoot-bay/19-hole-1503052,license_key=1503052,1,3
listing,/restaurant/bay-lake/1900-park-fare-5804824,license_key=5804824,1,1
listing,/restaurant/mount-dora/1921-mount-dora-4508734,license_key=4508734,1,1
listing,/restaurant/sanford/1st-street-lounge-llc-6905075,license_key=6905075,1,2
listing,/restaurant/south-daytona/2-ez-billiards-7407471,license_key=7407471,1,3
listing,/restaurant/cape-canaveral/2-georges-oceanside-bar-grill-1505172,license_key=1505172,1,1
listing,/restaurant/winter-park/240-rose-cafe-5811424,license_key=5811424,1,1
listing,/restaurant/melbourne/28-north-1506831,license_key=1506831,1,3
listing,/restaurant/fort-pierce/2nd-st-bistro-6603019,license_key=6603019,1,1
listing,/restaurant/melbourne/3-natives-melbourne-llc-1507040,license_key=1507040,1,3
listing,/restaurant/port-st-lucie/3-natives-psl-6603207,license_key=6603207,1,2
listing,/restaurant/oviedo/3-natives-6904777,license_key=6904777,1,2
listing,/restaurant/kissimmee/3-sisters-speak-ez-5911137,license_key=5911137,1,1
listing,/restaurant/winter-springs/3-6-9-restaurant-6903259,license_key=6903259,1,2
listing,/restaurant/port-st-lucie/3natives-tradition-6603168,license_key=6603168,1,3
listing,/restaurant/davenport/4-corners-tavern-5911619,license_key=5911619,1,2
listing,/restaurant/kissimmee/4-rivers-smokehouse-of-kissimmee-llc-5911513,license_key=5911513,1,1
listing,/restaurant/orlando/4-roots-cafe-5812646,license_key=5812646,1,3
listing,/restaurant/orlando/407-cafe-5812756,license_key=5812756,1,1
listing,/restaurant/orlando/438-wings-and-grill-1-llc-5813904,license_key=5813904,1,3
listing,/restaurant/eatonville/4r-central-kitchen-5812943,license_key=5812943,1,3
listing,/restaurant/orlando/4rivers-smokehouse-5813196,license_key=5813196,1,1
listing,/restaurant/cocoa-beach/4th-st-fillin-station-1506860,license_key=1506860,1,1
listing,/restaurant/lake-mary/4th-street-bar-and-grill-6904984,license_key=6904984,1,1
listing,/restaurant/bay-lake/50-s-prime-time-cafe-tune-in-lounge-5805128,license_key=5805128,1,1
listing,/restaurant/daytona-beach/509-lounge-7406927,license_key=7406927,1,3
listing,/restaurant/daytona-beach/5th-element-india-kitchen-7407618,license_key=7407618,1,1
listing,/restaurant/kissimmee/7583-chophouse-lobby-bar-sushi-5911016,license_key=5911016,1,2
listing,/restaurant/orlando/88-chinese-restaurant-5809031,license_key=5809031,1,2
listing,/restaurant/orlando/888-chinese-restaurant-llc-5809018,license_key=5809018,1,3
listing,/restaurant/port-orange/95-and-vine-llc-7407399,license_key=7407399,1,3
listing,/restaurant/orlando/9th-floor-lounge-5812763,license_key=5812763,1,2
listing,/restaurant/orlando/the-diner-dr-phillips-llc-5812189,license_key=5812189,1,3
listing,/restaurant/orlando/the-diner-5814635,license_key=5814635,1,1
listing,/restaurant/cocoa/a-m-atlantic-seafood-inc-1506288,license_key=1506288,1,2
listing,/restaurant/kissimmee/a-w-all-american-restaurant-5910626,license_key=5910626,1,2
listing,/restaurant/orlando/a-aki-sushi-steakhouse-5813177,license_key=5813177,1,1
listing,/restaurant/orlando/a-brasileira-bar-grill-5813530,license_key=5813530,1,1
listing,/restaurant/sebastian/a-kitchen-of-her-own-4105373,license_key=4105373,1,3
listing,/restaurant/orlando/a-land-remembered-5811236,license_key=5811236,1,2
listing,/restaurant/kissimmee/a-lot-fried-rice-5911751,license_key=5911751,1,3
listing,/restaurant/cocoa/a-taste-of-elegance-commissary-kitchen-llc-1507302,license_key=1507302,1,3
listing,/restaurant/st-cloud/a-touch-of-basil-llc-5910330,license_key=5910330,1,2
listing,/restaurant/orlando/a-t-buffalo-wings-llc-5813829,license_key=5813829,1,2
listing,/restaurant/orlando/a-aki-sushi-5812772,license_key=5812772,1,1
listing,/restaurant/new-smyrna-beach/a-m-cafe-7407641,license_key=7407641,1,2
listing,/restaurant/new-smyrna-beach/aa-garden-fusion-7407218,license_key=7407218,1,2
listing,/restaurant/orlando/aashirwad-indian-cuisine-5814091,license_key=5814091,1,1
listing,/restaurant/saint-cloud/abbaletas-5911084,license_key=5911084,1,2
listing,/restaurant/deland/abbey-7406757,license_key=7406757,1,3
listing,/restaurant/vero-beach/abbott-s-frozen-custard-4100348,license_key=4100348,1,2
listing,/restaurant/bay-lake/abc-commissary-5806163,license_key=5806163,1,1
listing,/restaurant/kissimmee/abracadabra-ice-cream-factory-5911208,license_key=5911208,1,1
listing,/restaurant/ormond-beach/absolutely-cheezee-7402446,license_key=7402446,1,1
listing,/restaurant/orlando/ac-kitchen-ac-skybar-5815076,license_key=5815076,1,1
listing,/restaurant/cocoa-beach/acai-express-cafe-1506595,license_key=1506595,1,3
listing,/restaurant/orlando/action-nissan-inc-5813341,license_key=5813341,1,1
listing,/restaurant/melbourne/ad1-viera-hotel-llc-1504747,license_key=1504747,1,3
listing,/restaurant/daytona-beach/adam-s-egg-restaurant-7407245,license_key=7407245,1,2
listing,/restaurant/orlando/adam-s-italian-ice-5814626,license_key=5814626,1,2
listing,/restaurant/mount-dora/adora-inn-4508285,license_key=4508285,1,1
listing,/restaurant/college-park/adriatico-trattoria-italiana-5811896,license_key=5811896,1,1
listing,/restaurant/orlando/afc-sushi-adventhealth-orlando-5813269,license_key=5813269,1,2
listing,/restaurant/vero-beach/agape-cafe-4100575,license_key=4100575,1,3
listing,/restaurant/winter-springs/agave-azul-cocina-mexicana-6904513,license_key=6904513,1,1
listing,/restaurant/windermere/agave-azul-cocina-mexicana-5814944,license_key=5814944,1,1
listing,/restaurant/winter-park/agave-azul-cocina-mexicana-5813917,license_key=5813917,1,1
listing,/restaurant/west-melbourne/agave-d-oro-mexican-bar-and-grill-1506629,license_key=1506629,1,2
listing,/restaurant/ormond-beach/agave-fresh-mex-7407158,license_key=7407158,1,3
listing,/restaurant/orlando/ahmed-indian-restaurant-alafaya-5813701,license_key=5813701,1,2
listing,/restaurant/orlando/ahmed-indian-restaurant-obt-5811217,license_key=5811217,1,1
listing,/restaurant/orlando/ahmed-indian-restaurant-ucf-orlando-5804993,license_key=5804993,1,1
listing,/restaurant/altamonte-springs/ahs-lakeview-caf-6905266,license_key=6905266,1,3
listing,/restaurant/winter-park/ain-t-miss-behaving-beach-bar-5809616,license_key=5809616,1,3
listing,/restaurant/sanford/airport-lanes-6903815,license_key=6903815,1,1
listing,/restaurant/deland/airport-restaurant-and-gin-mill-llc-7400575,license_key=7400575,1,1
listing,/restaurant/vero-beach/aj-jalisco-4101072,license_key=4101072,1,3
listing,/restaurant/orlando/aji-ceviche-bar-5808750,license_key=5808750,1,2
listing,/restaurant/winter-garden/aji-sushi-and-teppan-5812315,license_key=5812315,1,1
listing,/restaurant/lake-buena-vista/akershus-royal-banquet-hall-5804775,license_key=5804775,1,2
listing,/restaurant/clermont/akina-4508333,license_key=4508333,1,3
listing,/restaurant/sanford/akira-6905326,license_key=6905326,1,3
listing,/restaurant/titusville/ako-sushi-and-seafood-1506939,license_key=1506939,1,2
listing,/restaurant/melbourne/al-baik-kabob-house-1507173,license_key=1507173,1,2
listing,/restaurant/palm-bay/al-houda-inc-1506198,license_key=1506198,1,3
listing,/restaurant/orlando/al-s-pizza-wings-5802079,license_key=5802079,1,3
listing,/restaurant/kissimmee/al-s-pizzeria-5905888,license_key=5905888,1,1
listing,/restaurant/fort-pierce/alabon-haitian-restaurant-6603197,license_key=6603197,1,2
listing,/restaurant/casselberry/aladdins-cafe-6903256,license_key=6903256,1,2
listing,/restaurant/longwood/alaqua-country-club-6904750,license_key=6904750,1,2
listing,/restaurant/winter-park/alfond-inn-5813252,license_key=5813252,1,1
listing,/restaurant/merritt-island/alfredo-paradiso-1504259,license_key=1504259,1,2
listing,/restaurant/merritt-island/alfredo-s-paradiso-kitchen-1506760,license_key=1506760,1,3
