county,county_slug,city_key,city_display,city_slug,listings,hub_eligible
Brevard,brevard,MELBOURNE,Melbourne,melbourne,427,True
Brevard,brevard,PALM BAY,Palm Bay,palm-bay,153,True
Brevard,brevard,TITUSVILLE,Titusville,titusville,133,True
Brevard,brevard,COCOA BEACH,Cocoa Beach,cocoa-beach,132,True
Brevard,brevard,COCOA,Cocoa,cocoa,114,True
Brevard,brevard,MERRITT ISLAND,Merritt Island,merritt-island,97,True
Brevard,brevard,ROCKLEDGE,Rockledge,rockledge,83,True
Brevard,brevard,WEST MELBOURNE,West Melbourne,west-melbourne,73,True
Brevard,brevard,CAPE CANAVERAL,Cape Canaveral,cape-canaveral,54,True
Brevard,brevard,SATELLITE BEACH,Satellite Beach,satellite-beach,48,True
Brevard,brevard,INDIALANTIC,Indialantic,indialantic,36,True
Brevard,brevard,INDIAN HARBOUR BEACH,Indian Harbour Beach,indian-harbour-beach,29,True
Brevard,brevard,MELBOURNE BEACH,Melbourne Beach,melbourne-beach,18,True
Brevard,brevard,VIERA,Viera,viera,13,True
Brevard,brevard,MICCO,Micco,micco,8,False
Brevard,brevard,MIMS,Mims,mims,5,False
Brevard,brevard,PORT ST JOHN,Port St. John,port-st-john,5,False
Brevard,brevard,BAREFOOT BAY,Barefoot Bay,barefoot-bay,4,False
Brevard,brevard,GRANT,Grant,grant,4,False
Brevard,brevard,MALABAR,Malabar,malabar,4,False
Brevard,brevard,INDIAN HARBOR BEACH,Indian Harbor Beach,indian-harbor-beach,3,False
Brevard,brevard,INDIAN HARBOUR,Indian Harbour,indian-harbour,2,False
Brevard,brevard,MERRITT ISL,Merritt Isl,merritt-isl,2,False
Brevard,brevard,PALM SHORES,Palm Shores,palm-shores,2,False
Brevard,brevard,W MELBOURNE,W Melbourne,w-melbourne,2,False
Brevard,brevard,COOPER CITY,Cooper City,cooper-city,1,False
Brevard,brevard,INDIAN HARBOUR BEADH,Indian Harbour Beadh,indian-harbour-beadh,1,False
Brevard,brevard,MELBLOURNE,Melblourne,melblourne,1,False
Brevard,brevard,MELBORNE,Melborne,melborne,1,False
Brevard,brevard,MELBOUNE BEACH,Melboune Beach,melboune-beach,1,False
Brevard,brevard,MELBOURNE VILLAGE,Melbourne Village,melbourne-village,1,False
Brevard,brevard,"MELBOURNE, FL","Melbourne, Fl",melbourne-fl,1,False
Brevard,brevard,MELBOURNE-VIERA,Melbourne-Viera,melbourne-viera,1,False
Brevard,brevard,MERRIT ISL,Merrit Isl,merrit-isl,1,False
Brevard,brevard,MERRITT IS,Merritt Is,merritt-is,1,False
Brevard,brevard,MERRITT ISALND,Merritt Isalnd,merritt-isalnd,1,False
Brevard,brevard,MERRITT ISLE,Merritt Isle,merritt-isle,1,False
Brevard,brevard,PORT CANAVERAL,Port Canaveral,port-canaveral,1,False
