license_key,license_number_raw,business_name,establishment_type,county,county_slug,city_dbpr,city_slug,address,zip,seats,base_risk_level,health_score,health_grade,hp_violations,intermediate_violations,basic_violations,latest_inspection_date,latest_disposition,emergency_flag,zero_high_priority,place_id,google_name,latitude,longitude,google_neighborhood,category,rating,reviews_count,price_level,website,google_maps_url,hidden_gem,match_confidence,name_sim,zip_match,dup_place_id,vegan,vegetarian,gluten_free,dairy_free,keto,paleo,halal,kosher,organic,healthy,nut_aware,pescatarian,cuisine,has_google_offerings
4105080,SEA4105080,#1 WOK CHINESE RESTAURANT,Seating,Indian River,indian-river,VERO BEACH,vero-beach,1275 US HWY 1 STE 4,32960,20,Risk Level 2,76,C,2.0,0.0,8.0,2026-01-12,Inspection Completed - No Further Action,False,False,ChIJvYa6U6Bf3ogR4Q0qVGxlq9A,Number 1 Wok,27.6249298,-80.390741,,Chinese restaurant,3.1,51.0,$10–20,https://smorefood.com/order-online/number-1-wok-vero-beach-32960-ok0q1rpz?utm_source=gmb&utm_medium=website,https://www.google.com/maps/search/?api=1&query=Number%201%20Wok&query_place_id=ChIJvYa6U6Bf3ogR4Q0qVGxlq9A,False,medium,0.258,True,False,False,True,False,True,False,False,False,False,False,False,False,False,chinese,True
5800762,NOS5800762,'THE' SAND BAR & GRILL,Non-seating,Orange,orange,BAY LAKE,bay-lake,4600 N WORLD DR,32830,0,Risk Level 1,100,A,0.0,0.0,0.0,2025-09-03,Inspection Completed - No Further Action,False,True,ChIJow7hSpyA54gRCglehcnXpPU,The Sand Bar,28.414804,-81.5733843,,Bar & grill,3.7,23.0,,https://disneyworld.disney.go.com/dining/contemporary-resort/sand-bar/?CMP=OKC-90002260_GM_WDW_dining_thesandbar_NA,https://www.google.com/maps/search/?api=1&query=The%20Sand%20Bar&query_place_id=ChIJow7hSpyA54gRCglehcnXpPU,False,high,0.8,True,False,False,True,False,False,True,True,False,False,True,False,False,False,american,True
5904376,NOS5904376,(THE) DOWN TOWN DELI,Non-seating,Osceola,osceola,KISSIMMEE,kissimmee,5770 W IRLO BRONSON HWY 309,34746,0,Risk Level 1,98,A,0.0,0.0,2.0,2025-12-10,Inspection Completed - No Further Action,False,True,ChIJ51YcguKB3YgRlA_HjHufNR4,The Downtown deli,28.3298578,-81.5156999,,Fast food restaurant,4.9,1273.0,$10–20,https://stankysauce.com/?fbclid=IwY2xjawRWqv5leHRuA2FlbQIxMABicmlkETFKVUdQbEo3WGZKTVlFMm5Xc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHi2Y3WL21_ZKZNSfgspeZ9N1LKSfLtbamD3uAG7KSh84jB5jzE4HlpEb7KqM_aem__xv8D0B32GFgFc5lbtNGyg,https://www.google.com/maps/search/?api=1&query=The%20Downtown%20deli&query_place_id=ChIJ51YcguKB3YgRlA_HjHufNR4,False,high,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,other,True
6603153,SEA6603153,(THE) MOFONGO KING,Seating,St. Lucie,st-lucie,PORT ST LUCIE,port-st-lucie,295 SW PORT ST LUCIE BLVD,34984,50,Risk Level 2,76,C,1.0,3.0,7.0,2026-02-23,Inspection Completed - No Further Action,False,False,ChIJd585_M3x3ogRdHhiA9mmcsc,The Mofongo King,27.2755465,-80.3560099,,Puerto Rican restaurant,4.3,1747.0,$20–30,https://facebook.com/themofongoking,https://www.google.com/maps/search/?api=1&query=The%20Mofongo%20King&query_place_id=ChIJd585_M3x3ogRdHhiA9mmcsc,False,high,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,other,True
5813352,SEA5813352,(THE) STRAND,Seating,Orange,orange,ORLANDO,orlando,807 N MILLS AVE,32803,43,Risk Level 2,87,B,1.0,0.0,5.0,2026-04-13,Inspection Completed - No Further Action,False,False,ChIJ_5jeKep654gRYcjSPhrkGU0,The Strand,28.5553174,-81.36429,Colonialtown North,Restaurant,4.6,604.0,$40–50,http://strandorlando.com/,https://www.google.com/maps/search/?api=1&query=The%20Strand&query_place_id=ChIJ_5jeKep654gRYcjSPhrkGU0,False,high,1.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,other,True
5813782,SEA5813782,1010 BREWING CO.,Seating,Orange,orange,ORLANDO,orlando,1010 VIRGINIA DR,32803,55,Risk Level 2,91,A,0.0,1.0,6.0,2026-05-12,Inspection Completed - No Further Action,False,True,ChIJWx4Z85R654gRnDxKft1rD3Q,Ten10 Brewing Company,28.563909,-81.3659589,Northeast Orlando,Brewery,4.6,579.0,,https://ten10brewingcompany.com/,https://www.google.com/maps/search/?api=1&query=Ten10%20Brewing%20Company&query_place_id=ChIJWx4Z85R654gRnDxKft1rD3Q,False,high,0.688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,other,True
5910923,SEA5910923,126 CHINESE RESTAURANT,Seating,Osceola,osceola,KISSIMMEE,kissimmee,8681 W HWY 192 STE 126,34747,10,Risk Level 2,81,B,0.0,3.0,5.0,2026-04-30,Warning Issued,False,True,ChIJhWpobkJ83YgRU25Xk5ZXkzI,126 Chinese restaurant,28.3477207,-81.6320636,,Chinese restaurant,4.0,789.0,$10–20,,https://www.google.com/maps/search/?api=1&query=126%20Chinese%20restaurant&query_place_id=ChIJhWpobkJ83YgRU25Xk5ZXkzI,False,high,1.0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,chinese,True
6602468,SEA6602468,12A BUOY,Seating,St. Lucie,st-lucie,FORT PIERCE,fort-pierce,22 FISHERMANS WHARF,34950,105,Risk Level 2,91,A,0.0,2.0,3.0,2026-03-05,Inspection Completed - No Further Action,False,True,ChIJ3deYBQPx3ogR7hI1U8HP3ls,12A Buoy,27.4561787,-80.3246693,,Seafood restaurant,4.5,4237.0,$20–30,http://www.12abuoy.com/,https://www.google.com/maps/search/?api=1&query=12A%20Buoy&query_place_id=ChIJ3deYBQPx3ogR7hI1U8HP3ls,False,high,1.0,True,False,False,False,False,True,True,True,False,False,False,True,False,True,seafood,True
5811666,SEA5811666,14 BIS PIZZERIA,Seating,Orange,orange,ORLANDO,orlando,2869 WILSHIRE DR SUITE 104,32835,88,Risk Level 2,100,A,0.0,0.0,0.0,2026-04-15,Inspection Completed - No Further Action,False,True,ChIJGXuU4jd554gRRFRPO-g5FP8,14 Bis Pizzeria Brazilian = American,28.5124221,-81.4631126,Southwest Orlando,Restaurant,4.4,1215.0,$10–30,https://14bispizzeria.com/,https://www.google.com/maps/search/?api=1&query=14%20Bis%20Pizzeria%20Brazilian%20%3D%20American&query_place_id=ChIJGXuU4jd554gRRFRPO-g5FP8,False,high,0.605,True,False,False,True,False,False,False,False,False,False,False,False,False,False,pizza,True
6902862,SEA6902862,168 CHINESE RESTAURANT,Seating,Seminole,orange,APOPKA,apopka,3030 E SEMORAN BLVD #132,32703,95,Risk Level 2,82,B,1.0,0.0,10.0,2026-03-02,Inspection Completed - No Further Action,False,False,ChIJSSXQXJd254gRTcNSau6P-X0,168 Chinese Restaurant,28.6701842,-81.4551605,,Chinese restaurant,4.1,368.0,$10–20,https://168chineserestaurantfl.com/,https://www.google.com/maps/search/?api=1&query=168%20Chinese%20Restaurant&query_place_id=ChIJSSXQXJd254gRTcNSau6P-X0,False,high,1.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,chinese,True
